Category name,total questions,correct questions,Performance,Job Profile Name,User name,correctness
Domain Knowledge,5,5,Excellent,Data Analyst,lara,100.0
Performance Tuning,1,7,can't predict,Data Analyst,jefforson,700.0
Security Tools,4,1,Very Poor,Full Stack Developer,andrew,25.0
Security Tools,10,0,Needs Improvement,Full Stack Developer,andrew,0.0
Analytical Skills,2,0,Needs Improvement,Data Analyst,robin,0.0
Analytical Skills,3,9,can't predict,Data Analyst,john,300.0
Troubleshooting and Problem-Solving,3,4,can't predict,Artificial Intelligence (AI) Engineer,lara,133.33
Attention to Detail,3,10,can't predict,Database Administrator,jefforson,333.33
Programming skills,6,2,Poor,Database Administrator,andrew,33.33
Troubleshooting and Problem-Solving,7,4,Average,Artificial Intelligence (AI) Engineer,john,57.14
Knowledge of Security Tools,4,1,Very Poor,Cybersecurity Analyst,jefforson,25.0
Cyber Threat Intelligence,5,9,can't predict,Data Analyst,andrew,180.0
SQL and Query Optimization,9,5,Average,Database Administrator,andrew,55.56
Mathematics and Statistics.,5,1,Very Poor,Cybersecurity Analyst,jefforson,20.0
Back-end Technologies,3,6,can't predict,Database Administrator,jefforson,200.0
Risk Assessment and Management,8,7,Very Good,Cybersecurity Analyst,jefforson,87.5
Back-end Technologies,8,6,Good,Artificial Intelligence (AI) Engineer,john,75.0
Performance Tuning,4,10,can't predict,Database Administrator,jefforson,250.0
"APIs (RESTful, GraphQL)",5,8,can't predict,Database Administrator,jefforson,160.0
Programming Skills,6,4,Above Average,Artificial Intelligence (AI) Engineer,lara,66.67
Domain Knowledge,7,4,Average,Artificial Intelligence (AI) Engineer,lara,57.14
Database Management,5,7,can't predict,Data Analyst,robin,140.0
"APIs (RESTful, GraphQL)",9,5,Average,Data Analyst,jefforson,55.56
Analytical Skills,10,6,Above Average,Data Analyst,lara,60.0
Security Policies and Compliance,3,3,Excellent,Data Analyst,jefforson,100.0
Programming Skills,9,2,Very Poor,Artificial Intelligence (AI) Engineer,jefforson,22.22
Programming Skills,8,0,Needs Improvement,Artificial Intelligence (AI) Engineer,andrew,0.0
Data Visualization,10,4,Below Average,Database Administrator,andrew,40.0
Web Development Tools,9,9,Excellent,Data Analyst,andrew,100.0
Programming skills,5,7,can't predict,Full Stack Developer,john,140.0
Security Policies and Compliance,10,0,Needs Improvement,Cybersecurity Analyst,john,0.0
Statistical Knowledge,6,3,Average,Data Analyst,robin,50.0
Web Development Tools,6,6,Excellent,Artificial Intelligence (AI) Engineer,jefforson,100.0
Statistical Knowledge,4,4,Excellent,Database Administrator,jefforson,100.0
Understanding of Security Tools,1,2,can't predict,Artificial Intelligence (AI) Engineer,john,200.0
Domain Knowledge,9,10,can't predict,Artificial Intelligence (AI) Engineer,jefforson,111.11
Cyber Threat Intelligence,2,2,Excellent,Database Administrator,robin,100.0
Machine Learning,8,1,Extremely Poor,Artificial Intelligence (AI) Engineer,andrew,12.5
Back-end Technologies,3,4,can't predict,Database Administrator,jefforson,133.33
Risk Assessment and Management,3,2,Above Average,Data Analyst,jefforson,66.67
Programming Skills,9,0,Needs Improvement,Data Analyst,john,0.0
Programming skills,10,5,Average,Data Analyst,andrew,50.0
Statistical Knowledge,2,9,can't predict,Database Administrator,jefforson,450.0
Web Development Tools,8,9,can't predict,Database Administrator,robin,112.5
Scripting and Automation,3,4,can't predict,Data Analyst,john,133.33
Troubleshooting and Problem-Solving,1,10,can't predict,Cybersecurity Analyst,robin,1000.0
Security Policies and Compliance,9,4,Below Average,Artificial Intelligence (AI) Engineer,john,44.44
Statistical Knowledge,1,7,can't predict,Data Analyst,john,700.0
Understanding of Security Tools,2,0,Needs Improvement,Data Analyst,jefforson,0.0
Front-end Technologies,5,3,Above Average,Cybersecurity Analyst,andrew,60.0
Risk Assessment and Management,6,0,Needs Improvement,Artificial Intelligence (AI) Engineer,john,0.0
Attention to Detail,1,1,Excellent,Full Stack Developer,john,100.0
Analytical Skills,8,5,Above Average,Full Stack Developer,john,62.5
Problem-Solving Abilities,10,5,Average,Database Administrator,jefforson,50.0
Database Management,9,10,can't predict,Data Analyst,john,111.11
Understanding of Security Tools,1,7,can't predict,Cybersecurity Analyst,jefforson,700.0
Risk Assessment and Management,7,5,Good,Cybersecurity Analyst,jefforson,71.43
Domain Knowledge,5,4,Very Good,Full Stack Developer,jefforson,80.0
Data Modeling and Design,3,1,Poor,Artificial Intelligence (AI) Engineer,jefforson,33.33
Analytical Skills,1,9,can't predict,Data Analyst,lara,900.0
Deep Learning,1,9,can't predict,Full Stack Developer,lara,900.0
Web Development Tools,5,0,Needs Improvement,Data Analyst,jefforson,0.0
Front-end Technologies,4,0,Needs Improvement,Artificial Intelligence (AI) Engineer,john,0.0
Programming Skills,5,7,can't predict,Full Stack Developer,andrew,140.0
Algorithm Development,4,6,can't predict,Data Analyst,jefforson,150.0
"APIs (RESTful, GraphQL)",9,1,Extremely Poor,Cybersecurity Analyst,lara,11.11
Scripting and Automation,2,5,can't predict,Data Analyst,jefforson,250.0
Database Knowledge,10,7,Good,Artificial Intelligence (AI) Engineer,jefforson,70.0
"APIs (RESTful, GraphQL)",8,1,Extremely Poor,Data Analyst,jefforson,12.5
Statistical Knowledge,5,0,Needs Improvement,Full Stack Developer,andrew,0.0
Database Management Systems,7,9,can't predict,Data Analyst,jefforson,128.57
Back-end Technologies,9,6,Above Average,Database Administrator,andrew,66.67
"APIs (RESTful, GraphQL)",9,3,Poor,Data Analyst,jefforson,33.33
Security Policies and Compliance,5,6,can't predict,Artificial Intelligence (AI) Engineer,john,120.0
Back-end Technologies,7,3,Below Average,Full Stack Developer,john,42.86
Database Management Systems,5,2,Below Average,Database Administrator,lara,40.0
Database Knowledge,3,10,can't predict,Database Administrator,andrew,333.33
Data Modeling and Design,1,3,can't predict,Cybersecurity Analyst,robin,300.0
Programming Skills,5,3,Above Average,Database Administrator,andrew,60.0
Machine Learning,6,2,Poor,Database Administrator,lara,33.33
Data Modeling and Design,8,10,can't predict,Data Analyst,andrew,125.0
"APIs (RESTful, GraphQL)",5,10,can't predict,Full Stack Developer,jefforson,200.0
Understanding of Security Tools,7,9,can't predict,Cybersecurity Analyst,jefforson,128.57
Security Tools,7,3,Below Average,Full Stack Developer,robin,42.86
Critical Thinking,9,5,Average,Data Analyst,andrew,55.56
Database Security,2,7,can't predict,Cybersecurity Analyst,robin,350.0
Understanding of Security Tools,3,6,can't predict,Full Stack Developer,jefforson,200.0
Natural Language Processing ,8,10,can't predict,Database Administrator,andrew,125.0
Programming Skills,7,4,Average,Data Analyst,jefforson,57.14
Programming Skills,6,7,can't predict,Artificial Intelligence (AI) Engineer,lara,116.67
Programming Skills,10,6,Above Average,Cybersecurity Analyst,lara,60.0
"APIs (RESTful, GraphQL)",2,3,can't predict,Artificial Intelligence (AI) Engineer,john,150.0
Data Visualization,5,10,can't predict,Full Stack Developer,lara,200.0
Data Handling,7,8,can't predict,Data Analyst,lara,114.29
Domain Knowledge,8,3,Poor,Artificial Intelligence (AI) Engineer,jefforson,37.5
Front-end Technologies,9,10,can't predict,Data Analyst,jefforson,111.11
Version Control/Git,10,2,Very Poor,Data Analyst,jefforson,20.0
Version Control/Git,5,3,Above Average,Data Analyst,jefforson,60.0
Troubleshooting and Problem-Solving,3,4,can't predict,Artificial Intelligence (AI) Engineer,jefforson,133.33
Machine Learning,8,3,Poor,Database Administrator,jefforson,37.5
Risk Assessment and Management,10,0,Needs Improvement,Cybersecurity Analyst,andrew,0.0
Database Security,7,7,Excellent,Database Administrator,andrew,100.0
Performance Tuning,7,8,can't predict,Full Stack Developer,jefforson,114.29
Programming Skills,3,10,can't predict,Cybersecurity Analyst,andrew,333.33
Attention to Detail,7,7,Excellent,Full Stack Developer,john,100.0
Analytical Skills,7,9,can't predict,Cybersecurity Analyst,jefforson,128.57
Database Security,1,2,can't predict,Database Administrator,lara,200.0
Statistical Knowledge,7,0,Needs Improvement,Full Stack Developer,andrew,0.0
Programming skills,6,9,can't predict,Database Administrator,lara,150.0
Deep Learning,9,6,Above Average,Database Administrator,robin,66.67
Scripting and Automation,5,10,can't predict,Data Analyst,andrew,200.0
Performance Tuning,10,10,Excellent,Full Stack Developer,robin,100.0
Database Knowledge,8,10,can't predict,Full Stack Developer,andrew,125.0
Critical Thinking,9,4,Below Average,Artificial Intelligence (AI) Engineer,jefforson,44.44
Web Development Tools,8,3,Poor,Data Analyst,andrew,37.5
Web Development Tools,9,0,Needs Improvement,Full Stack Developer,jefforson,0.0
"APIs (RESTful, GraphQL)",3,5,can't predict,Data Analyst,andrew,166.67
Algorithm Development,4,3,Good,Artificial Intelligence (AI) Engineer,lara,75.0
Programming Skills,7,5,Good,Cybersecurity Analyst,robin,71.43
Data Modeling and Design,2,10,can't predict,Artificial Intelligence (AI) Engineer,john,500.0
Version Control/Git,4,5,can't predict,Cybersecurity Analyst,lara,125.0
Domain Knowledge,6,6,Excellent,Cybersecurity Analyst,andrew,100.0
Performance Tuning,6,10,can't predict,Full Stack Developer,andrew,166.67
Security Policies and Compliance,5,7,can't predict,Data Analyst,jefforson,140.0
Networking Skills,2,3,can't predict,Cybersecurity Analyst,jefforson,150.0
Version Control/Git,2,5,can't predict,Artificial Intelligence (AI) Engineer,jefforson,250.0
Cyber Threat Intelligence,8,10,can't predict,Artificial Intelligence (AI) Engineer,robin,125.0
Algorithm Development,2,6,can't predict,Cybersecurity Analyst,jefforson,300.0
Back-end Technologies,7,1,Extremely Poor,Full Stack Developer,robin,14.29
Attention to Detail,3,0,Needs Improvement,Data Analyst,andrew,0.0
Web Development Tools,3,9,can't predict,Data Analyst,robin,300.0
Knowledge of Security Tools,5,9,can't predict,Data Analyst,robin,180.0
Problem-Solving Abilities,1,9,can't predict,Cybersecurity Analyst,jefforson,900.0
Knowledge of Security Tools,4,10,can't predict,Data Analyst,andrew,250.0
Attention to Detail,5,5,Excellent,Full Stack Developer,john,100.0
Deep Learning,6,5,Very Good,Full Stack Developer,andrew,83.33
Scripting and Automation,10,0,Needs Improvement,Cybersecurity Analyst,andrew,0.0
Domain Knowledge,5,0,Needs Improvement,Artificial Intelligence (AI) Engineer,robin,0.0
Domain Knowledge,2,6,can't predict,Artificial Intelligence (AI) Engineer,john,300.0
Networking Skills,6,6,Excellent,Data Analyst,jefforson,100.0
Risk Assessment and Management,9,8,Very Good,Cybersecurity Analyst,john,88.89
Understanding of Security Tools,9,8,Very Good,Full Stack Developer,jefforson,88.89
Troubleshooting and Problem-Solving,6,5,Very Good,Cybersecurity Analyst,jefforson,83.33
Knowledge of Security Tools,3,9,can't predict,Full Stack Developer,lara,300.0
Risk Assessment and Management,3,3,Excellent,Data Analyst,lara,100.0
Data Visualization,7,9,can't predict,Full Stack Developer,andrew,128.57
Programming Skills,4,3,Good,Data Analyst,jefforson,75.0
Scripting and Automation,9,9,Excellent,Data Analyst,andrew,100.0
Deep Learning,8,2,Very Poor,Full Stack Developer,jefforson,25.0
Security Tools,1,1,Excellent,Artificial Intelligence (AI) Engineer,robin,100.0
"APIs (RESTful, GraphQL)",7,2,Very Poor,Full Stack Developer,lara,28.57
Knowledge of Security Tools,5,9,can't predict,Database Administrator,john,180.0
Version Control/Git,9,4,Below Average,Full Stack Developer,john,44.44
Database Knowledge,7,5,Good,Data Analyst,jefforson,71.43
Security Tools,10,0,Needs Improvement,Cybersecurity Analyst,john,0.0
Database Management,6,2,Poor,Data Analyst,lara,33.33
Front-end Technologies,6,3,Average,Full Stack Developer,andrew,50.0
Programming skills,4,3,Good,Data Analyst,robin,75.0
Web Development Tools,2,6,can't predict,Full Stack Developer,lara,300.0
Database Security,6,10,can't predict,Full Stack Developer,jefforson,166.67
Backup and Recovery,6,10,can't predict,Database Administrator,robin,166.67
Database Management,1,8,can't predict,Cybersecurity Analyst,robin,800.0
Database Management,8,0,Needs Improvement,Data Analyst,robin,0.0
Data Modeling and Design,7,6,Very Good,Artificial Intelligence (AI) Engineer,andrew,85.71
Front-end Technologies,2,2,Excellent,Cybersecurity Analyst,lara,100.0
Critical Thinking,1,1,Excellent,Cybersecurity Analyst,andrew,100.0
Data Visualization,2,3,can't predict,Cybersecurity Analyst,john,150.0
Mathematics and Statistics.,6,6,Excellent,Artificial Intelligence (AI) Engineer,jefforson,100.0
Web Development Tools,10,5,Average,Data Analyst,andrew,50.0
Database Management,2,1,Average,Cybersecurity Analyst,andrew,50.0
Domain Knowledge,1,10,can't predict,Data Analyst,andrew,1000.0
Mathematics and Statistics.,8,4,Average,Cybersecurity Analyst,andrew,50.0
Database Management,3,7,can't predict,Full Stack Developer,lara,233.33
Mathematics and Statistics.,7,8,can't predict,Full Stack Developer,jefforson,114.29
Networking Skills,8,8,Excellent,Data Analyst,robin,100.0
Data Handling,10,7,Good,Full Stack Developer,andrew,70.0
Attention to Detail,4,6,can't predict,Artificial Intelligence (AI) Engineer,lara,150.0
Database Management Systems,5,6,can't predict,Data Analyst,jefforson,120.0
Statistical Knowledge,10,6,Above Average,Artificial Intelligence (AI) Engineer,jefforson,60.0
Analytical Skills,5,4,Very Good,Database Administrator,lara,80.0
Data Modeling and Design,7,1,Extremely Poor,Database Administrator,andrew,14.29
Database Security,9,0,Needs Improvement,Artificial Intelligence (AI) Engineer,andrew,0.0
Domain Knowledge,9,1,Extremely Poor,Cybersecurity Analyst,jefforson,11.11
Networking Skills,7,3,Below Average,Data Analyst,andrew,42.86
Data Modeling and Design,6,5,Very Good,Database Administrator,jefforson,83.33
Database Knowledge,7,0,Needs Improvement,Database Administrator,jefforson,0.0
Front-end Technologies,7,4,Average,Database Administrator,jefforson,57.14
Natural Language Processing ,9,8,Very Good,Full Stack Developer,jefforson,88.89
"APIs (RESTful, GraphQL)",7,3,Below Average,Database Administrator,lara,42.86
Database Management,9,4,Below Average,Full Stack Developer,andrew,44.44
SQL and Query Optimization,4,1,Very Poor,Data Analyst,lara,25.0
Database Security,7,10,can't predict,Database Administrator,jefforson,142.86
Programming Skills,10,7,Good,Data Analyst,lara,70.0
Database Knowledge,2,1,Average,Data Analyst,robin,50.0
Cyber Threat Intelligence,2,4,can't predict,Data Analyst,andrew,200.0
Analytical Skills,10,5,Average,Data Analyst,andrew,50.0
Domain Knowledge,10,7,Good,Database Administrator,robin,70.0
Back-end Technologies,3,1,Poor,Data Analyst,lara,33.33
Domain Knowledge,9,1,Extremely Poor,Database Administrator,jefforson,11.11
Security Policies and Compliance,5,0,Needs Improvement,Data Analyst,john,0.0
SQL and Query Optimization,4,10,can't predict,Artificial Intelligence (AI) Engineer,lara,250.0
Troubleshooting and Problem-Solving,9,0,Needs Improvement,Data Analyst,john,0.0
Cyber Threat Intelligence,9,5,Average,Data Analyst,lara,55.56
Analytical Skills,2,8,can't predict,Full Stack Developer,robin,400.0
Data Handling,7,2,Very Poor,Database Administrator,jefforson,28.57
Data Visualization,3,9,can't predict,Database Administrator,andrew,300.0
Security Policies and Compliance,9,4,Below Average,Database Administrator,jefforson,44.44
Database Management,8,10,can't predict,Database Administrator,jefforson,125.0
Database Management Systems,10,2,Very Poor,Full Stack Developer,andrew,20.0
Performance Tuning,5,2,Below Average,Data Analyst,andrew,40.0
Database Security,1,0,Needs Improvement,Full Stack Developer,jefforson,0.0
Cyber Threat Intelligence,9,4,Below Average,Cybersecurity Analyst,lara,44.44
"APIs (RESTful, GraphQL)",10,5,Average,Full Stack Developer,robin,50.0
Analytical Skills,2,2,Excellent,Database Administrator,jefforson,100.0
"APIs (RESTful, GraphQL)",9,4,Below Average,Database Administrator,john,44.44
Domain Knowledge,9,2,Very Poor,Artificial Intelligence (AI) Engineer,andrew,22.22
Version Control/Git,2,7,can't predict,Data Analyst,jefforson,350.0
Natural Language Processing ,7,1,Extremely Poor,Artificial Intelligence (AI) Engineer,lara,14.29
Programming Skills,7,1,Extremely Poor,Full Stack Developer,lara,14.29
SQL and Query Optimization,10,1,Extremely Poor,Data Analyst,robin,10.0
Critical Thinking,10,3,Poor,Data Analyst,lara,30.0
Knowledge of Security Tools,3,5,can't predict,Full Stack Developer,andrew,166.67
Back-end Technologies,6,0,Needs Improvement,Data Analyst,jefforson,0.0
Web Development Tools,4,1,Very Poor,Data Analyst,robin,25.0
Back-end Technologies,2,5,can't predict,Data Analyst,robin,250.0
Networking Skills,2,5,can't predict,Data Analyst,jefforson,250.0
Programming Skills,10,2,Very Poor,Cybersecurity Analyst,john,20.0
Database Management Systems,2,9,can't predict,Database Administrator,andrew,450.0
Database Security,9,10,can't predict,Artificial Intelligence (AI) Engineer,john,111.11
Attention to Detail,6,4,Above Average,Artificial Intelligence (AI) Engineer,john,66.67
Front-end Technologies,3,2,Above Average,Full Stack Developer,john,66.67
Version Control/Git,10,4,Below Average,Data Analyst,jefforson,40.0
Database Management Systems,9,9,Excellent,Data Analyst,jefforson,100.0
Data Modeling and Design,10,3,Poor,Data Analyst,jefforson,30.0
Analytical Skills,10,2,Very Poor,Database Administrator,andrew,20.0
Problem-Solving Abilities,5,8,can't predict,Data Analyst,jefforson,160.0
Programming skills,4,1,Very Poor,Full Stack Developer,jefforson,25.0
Version Control/Git,10,0,Needs Improvement,Data Analyst,john,0.0
Analytical Skills,3,7,can't predict,Data Analyst,robin,233.33
Algorithm Development,10,2,Very Poor,Database Administrator,john,20.0
Knowledge of Security Tools,10,5,Average,Cybersecurity Analyst,john,50.0
Web Development Tools,4,0,Needs Improvement,Data Analyst,john,0.0
Deep Learning,8,8,Excellent,Cybersecurity Analyst,john,100.0
Understanding of Security Tools,2,9,can't predict,Database Administrator,jefforson,450.0
Deep Learning,9,9,Excellent,Artificial Intelligence (AI) Engineer,jefforson,100.0
Troubleshooting and Problem-Solving,3,3,Excellent,Database Administrator,andrew,100.0
Networking Skills,4,2,Average,Full Stack Developer,jefforson,50.0
Scripting and Automation,3,10,can't predict,Full Stack Developer,john,333.33
Domain Knowledge,5,2,Below Average,Database Administrator,john,40.0
Attention to Detail,4,9,can't predict,Data Analyst,john,225.0
Back-end Technologies,8,2,Very Poor,Full Stack Developer,jefforson,25.0
Risk Assessment and Management,9,9,Excellent,Full Stack Developer,jefforson,100.0
Deep Learning,7,4,Average,Data Analyst,jefforson,57.14
Programming Skills,3,3,Excellent,Cybersecurity Analyst,robin,100.0
Backup and Recovery,1,3,can't predict,Artificial Intelligence (AI) Engineer,john,300.0
"APIs (RESTful, GraphQL)",10,8,Very Good,Cybersecurity Analyst,jefforson,80.0
Web Development Tools,3,8,can't predict,Artificial Intelligence (AI) Engineer,andrew,266.67
Domain Knowledge,4,1,Very Poor,Full Stack Developer,jefforson,25.0
Backup and Recovery,2,7,can't predict,Database Administrator,andrew,350.0
Security Policies and Compliance,6,7,can't predict,Full Stack Developer,jefforson,116.67
Critical Thinking,7,10,can't predict,Full Stack Developer,lara,142.86
Data Handling,8,10,can't predict,Full Stack Developer,john,125.0
Analytical Skills,9,6,Above Average,Full Stack Developer,andrew,66.67
Database Management Systems,6,3,Average,Cybersecurity Analyst,jefforson,50.0
Statistical Knowledge,2,4,can't predict,Database Administrator,andrew,200.0
SQL and Query Optimization,6,2,Poor,Full Stack Developer,andrew,33.33
Database Security,8,7,Very Good,Data Analyst,robin,87.5
Back-end Technologies,3,5,can't predict,Full Stack Developer,andrew,166.67
SQL and Query Optimization,7,0,Needs Improvement,Artificial Intelligence (AI) Engineer,lara,0.0
Data Visualization,7,3,Below Average,Database Administrator,robin,42.86
Mathematics and Statistics.,10,3,Poor,Database Administrator,john,30.0
Data Visualization,10,8,Very Good,Data Analyst,john,80.0
Performance Tuning,2,0,Needs Improvement,Data Analyst,jefforson,0.0
Database Knowledge,6,3,Average,Data Analyst,lara,50.0
Front-end Technologies,10,10,Excellent,Data Analyst,lara,100.0
Data Visualization,5,2,Below Average,Artificial Intelligence (AI) Engineer,john,40.0
Critical Thinking,4,3,Good,Artificial Intelligence (AI) Engineer,andrew,75.0
Database Management Systems,9,7,Good,Data Analyst,andrew,77.78
Critical Thinking,4,4,Excellent,Database Administrator,jefforson,100.0
Web Development Tools,10,6,Above Average,Data Analyst,lara,60.0
Attention to Detail,6,10,can't predict,Cybersecurity Analyst,robin,166.67
SQL and Query Optimization,10,1,Extremely Poor,Full Stack Developer,lara,10.0
Version Control/Git,8,2,Very Poor,Full Stack Developer,jefforson,25.0
Mathematics and Statistics.,7,3,Below Average,Data Analyst,john,42.86
Scripting and Automation,4,10,can't predict,Data Analyst,lara,250.0
Analytical Skills,1,7,can't predict,Data Analyst,jefforson,700.0
Web Development Tools,9,6,Above Average,Cybersecurity Analyst,john,66.67
Database Knowledge,8,3,Poor,Cybersecurity Analyst,robin,37.5
Problem-Solving Abilities,7,5,Good,Data Analyst,robin,71.43
Backup and Recovery,2,7,can't predict,Full Stack Developer,robin,350.0
Understanding of Security Tools,6,6,Excellent,Artificial Intelligence (AI) Engineer,andrew,100.0
Database Knowledge,4,5,can't predict,Database Administrator,andrew,125.0
Critical Thinking,3,1,Poor,Artificial Intelligence (AI) Engineer,robin,33.33
Deep Learning,4,0,Needs Improvement,Artificial Intelligence (AI) Engineer,andrew,0.0
Database Security,9,5,Average,Database Administrator,robin,55.56
Data Handling,10,4,Below Average,Artificial Intelligence (AI) Engineer,andrew,40.0
Domain Knowledge,4,6,can't predict,Data Analyst,jefforson,150.0
Data Modeling and Design,3,4,can't predict,Artificial Intelligence (AI) Engineer,robin,133.33
Domain Knowledge,4,5,can't predict,Artificial Intelligence (AI) Engineer,andrew,125.0
Database Knowledge,5,1,Very Poor,Full Stack Developer,jefforson,20.0
Machine Learning,9,5,Average,Full Stack Developer,jefforson,55.56
Statistical Knowledge,4,8,can't predict,Database Administrator,jefforson,200.0
Attention to Detail,2,10,can't predict,Data Analyst,robin,500.0
Scripting and Automation,5,1,Very Poor,Artificial Intelligence (AI) Engineer,andrew,20.0
Back-end Technologies,10,1,Extremely Poor,Cybersecurity Analyst,lara,10.0
Back-end Technologies,1,7,can't predict,Data Analyst,john,700.0
Attention to Detail,10,5,Average,Cybersecurity Analyst,jefforson,50.0
Machine Learning,2,5,can't predict,Data Analyst,lara,250.0
Data Visualization,8,10,can't predict,Artificial Intelligence (AI) Engineer,robin,125.0
Database Management Systems,2,1,Average,Cybersecurity Analyst,robin,50.0
Database Knowledge,4,0,Needs Improvement,Database Administrator,john,0.0
Programming Skills,1,0,Needs Improvement,Full Stack Developer,jefforson,0.0
Statistical Knowledge,2,8,can't predict,Data Analyst,john,400.0
Front-end Technologies,2,0,Needs Improvement,Data Analyst,jefforson,0.0
SQL and Query Optimization,2,3,can't predict,Full Stack Developer,jefforson,150.0
Analytical Skills,10,9,Excellent,Full Stack Developer,jefforson,90.0
Domain Knowledge,5,10,can't predict,Data Analyst,andrew,200.0
Analytical Skills,9,4,Below Average,Artificial Intelligence (AI) Engineer,jefforson,44.44
Critical Thinking,6,8,can't predict,Artificial Intelligence (AI) Engineer,lara,133.33
Analytical Skills,1,6,can't predict,Cybersecurity Analyst,andrew,600.0
Version Control/Git,3,9,can't predict,Database Administrator,andrew,300.0
Database Security,1,10,can't predict,Data Analyst,robin,1000.0
Critical Thinking,1,1,Excellent,Artificial Intelligence (AI) Engineer,lara,100.0
"APIs (RESTful, GraphQL)",8,5,Above Average,Data Analyst,lara,62.5
Risk Assessment and Management,8,8,Excellent,Data Analyst,robin,100.0
"APIs (RESTful, GraphQL)",4,10,can't predict,Database Administrator,andrew,250.0
Database Management,10,3,Poor,Full Stack Developer,jefforson,30.0
Back-end Technologies,3,8,can't predict,Data Analyst,jefforson,266.67
Backup and Recovery,8,5,Above Average,Data Analyst,john,62.5
Version Control/Git,10,5,Average,Data Analyst,lara,50.0
Web Development Tools,7,2,Very Poor,Artificial Intelligence (AI) Engineer,robin,28.57
